,Common Name,,,Scientific name,,
"common:""",Atlantic Mackerel,"""","scientific:""",Scomber scombrus,"""",delete
"common:""",Atlantic Tomcod              ,"""","scientific:""",Microgadus tomcod,"""",delete
"common:""",Gafftopsail Catfish           ,"""","scientific:""",Bagre marinus,"""",delete
"common:""",Jack Crevalle                 ,"""","scientific:""",Caranx hippos,"""",delete
"common:""",Seatrout,"""","scientific:""",Cynoscion spp.,"""",delete
"common:""",Warsaw Grouper                ,"""","scientific:""",Epinephelus nigritus,"""",delete
"common:""",Skipjack Tuna                 ,"""","scientific:""",Katsuwonus pelamis,"""",delete
"common:""",Spotted Seatrout              ,"""","scientific:""",Cynoscion nebulosus,"""",delete
"common:""",Weakfish                      ,"""","scientific:""",Cynoscion regalis,"""",delete
"common:""",Weakfish                      ,"""","scientific:""",Cynoscion regalis,"""",delete
"common:""",Scaled Sardine                ,"""","scientific:""",Harengula pensacolae,"""",delete
"common:""",Tautog                        ,"""","scientific:""",Tautoga onitis,"""",delete
"common:""",Silver Perch                  ,"""","scientific:""",Bairdiella chrysura,"""",delete
"common:""",Striped Bass                  ,"""","scientific:""",Morone saxatilis,"""",delete
"common:""",Silver Perch                  ,"""","scientific:""",Bairdiella chrysura,"""",delete
"common:""",American Shad                 ,"""","scientific:""",Alosa sapidissima,"""",delete
"common:""",Gray Snapper                  ,"""","scientific:""",Lutjanus griseus,"""",delete
"common:""",Whitebone Porgy            ,"""","scientific:""",Calamus leucosteus,"""",delete
"common:""",Red Porgy                   ,"""","scientific:""",Pagrus pagrus,"""",delete
"common:""",Sand Seatrout                 ,"""","scientific:""",Cynoscion arenarius,"""",delete
"common:""",Silver Seatrout               ,"""","scientific:""",Cynoscion nothus,"""",delete
"common:""",Gulf Kingfish                 ,"""","scientific:""",Menicirrhus littoralis,"""",delete
"common:""",Silver Hake                   ,"""","scientific:""",Merluccius bilinearis,"""",delete
"common:""",Kingfish,"""","scientific:""",Menticirrhus spp.,"""",delete
"common:""",Spotted Seatrout              ,"""","scientific:""",Cynoscion nebulosus,"""",delete
"common:""",Weakfish                      ,"""","scientific:""",Cynoscion regalis,"""",delete
"common:""",Silk Snapper                  ,"""","scientific:""",Lutjanus vivanus,"""",delete
"common:""",Spot                          ,"""","scientific:""",Leiostomus xanthurus,"""",delete
"common:""",Weakfish                      ,"""","scientific:""",Cynoscion regalis,"""",delete
"common:""",Silver Perch                  ,"""","scientific:""",Bairdiella chrysura,"""",delete
"common:""",Yellow Jack                   ,"""","scientific:""",Caranx bartholomaei,"""",delete
"common:""",Yellowtail Snapper            ,"""","scientific:""",Ocyurus chrysurus,"""",delete
"common:""",Jack Crevalle                 ,"""","scientific:""",Caranx hippos,"""",delete
"common:""",Atlantic Croaker              ,"""","scientific:""",Micropogon undulatus,"""",delete
"common:""",Albacore                        ,"""","scientific:""",Thunnus alalunga,"""",delete
"common:""",Barracuda                       ,"""","scientific:""",Sphyraena argentea,"""",delete
"common:""",Mexican Rockfish                ,"""","scientific:""",Sebastes macdonaldi,"""",delete
"common:""",Bronzespotted Rockfish          ,"""","scientific:""",Sebastes gilli,"""",delete
"common:""",Mexican Rockfish                ,"""","scientific:""",Sebastes macdonaldi,"""",delete
"common:""",Mexican Rockfish                ,"""","scientific:""",Sebastes macdonaldi,"""",delete
"common:""",Rosy Rockfish                   ,"""","scientific:""",Sebastes rosaceus,"""",delete
"common:""",Bank Rockfish                   ,"""","scientific:""",Sebastes rufus,"""",delete
"common:""",Speckled Rockfish               ,"""","scientific:""",Sebastes ovalis,"""",delete
"common:""",White Croaker                   ,"""","scientific:""",Genyonemus lineatus,"""",delete
"common:""",Flag Rockfish                   ,"""","scientific:""",Sebastes rubrivinctus,"""",delete
"common:""",Redbanded Rockfish              ,"""","scientific:""",Sebastes rubrivinctus,"""",delete
"common:""",Ca. Halibut                     ,"""","scientific:""",Paralichthys californicus,"""",delete
"common:""",Barracuda                       ,"""","scientific:""",Sphyraena argentea,"""",delete
"common:""",Spotted Sand Bass               ,"""","scientific:""",Paralabrax maculatofasciatus,"""",delete
"common:""",Squarespot Rockfish             ,"""","scientific:""",Sebastes hopkinsi,"""",delete
"common:""",Widow Rockfish                  ,"""","scientific:""",Sebastes entomelas,"""",delete
"common:""",Speckled Rockfish               ,"""","scientific:""",Sebastes ovalis,"""",delete
"common:""",Sheephead                       ,"""","scientific:""",Semicossyphus pulcher,"""",delete
"common:""",Sablefish                       ,"""","scientific:""",Anoplopoma fimbria,"""",delete
"common:""",Giant Sea Bass                  ,"""","scientific:""",Stereolepis gigas,"""",delete
"common:""",Halfmoon                       ,"""","scientific:""",Medialuna californiensis,"""",delete
"common:""",Blue Rockfish                   ,"""","scientific:""",Sebastes mystinus,"""",delete
"common:""",Pacific Mackerel                ,"""","scientific:""",Scomber japonicus,"""",delete
"common:""",Halfmoon                        ,"""","scientific:""",Medialuna californiensis,"""",delete
"common:""",Halfmoon                        ,"""","scientific:""",Medialuna californiensis,"""",delete
"common:""",Bonito                          ,"""","scientific:""",Sarda chiliensis,"""",delete
"common:""",Shortfin Mako Shark             ,"""","scientific:""",Isurus oxyrinchus,"""",delete
"common:""",Greenblotched Rockfish          ,"""","scientific:""",Sebastes rosenblatti,"""",delete
"common:""",Greenspotted Rockfish           ,"""","scientific:""",Sebastes chlorostictus,"""",delete
"common:""",Pink Rockfish                   ,"""","scientific:""",Sebastes eos,"""",delete
"common:""",Queenfish                       ,"""","scientific:""",Seriphus politus,"""",delete
"common:""",Brown Rockfish                  ,"""","scientific:""",Sebastes auriculatus,"""",delete
"common:""",Kelp Bass                       ,"""","scientific:""",Paralabrax clathratus,"""",delete
"common:""",White Sea Bass                  ,"""","scientific:""",Atractoscion nobilis,"""",delete
"common:""",Pa. Staghorn Sculpin            ,"""","scientific:""",Leptocottus armatus,"""",delete
"common:""",White Croaker                   ,"""","scientific:""",Genyonemus lineatus,"""",delete
"common:""",Pa. Butterfish                  ,"""","scientific:""",Peprilus simillimus,"""",delete
"common:""",Sablefish                      ,"""","scientific:""",Anoplopoma fimbria,"""",delete
"common:""",Rubberlip Seaperch              ,"""","scientific:""",Rhacochilus toxotes,"""",delete
"common:""",Opaleye                         ,"""","scientific:""",Girella nigricans,"""",delete
"common:""",Cowcod                          ,"""","scientific:""",Sebastes levis,"""",delete
"common:""",Kelp Bass                       ,"""","scientific:""",Paralabrax clathratus,"""",delete
"common:""",Kelp Bass                       ,"""","scientific:""",Paralabrax clathratus,"""",delete
"common:""",White Croaker                   ,"""","scientific:""",Genyonemus lineatus,"""",delete
"common:""",Ca. Corbina                     ,"""","scientific:""",Menticirrhus undulatus,"""",delete
"common:""",Halfmoon                        ,"""","scientific:""",Medialuna californiensis,"""",delete
"common:""",Halfmoon                        ,"""","scientific:""",Medialuna californiensis,"""",delete
"common:""",Splitnose Rockfish              ,"""","scientific:""",Sebastes diploproa,"""",delete
"common:""",Shortspine Thornyhead           ,"""","scientific:""",Sebastalobus alascanus,"""",delete
"common:""",Kelp Bass                       ,"""","scientific:""",Paralabrax clathratus,"""",delete
"common:""",Chilipepper                     ,"""","scientific:""",Sebastes goodei,"""",delete
"common:""",Black Croaker                   ,"""","scientific:""",Cheilotrema saturnum,"""",delete
"common:""",Sargo                           ,"""","scientific:""",Anisotremus davidsonii,"""",delete
"common:""",King Salmon                     ,"""","scientific:""",Oncorhynchus tshawytscha,"""",delete
"common:""",Brown Rockfish                  ,"""","scientific:""",Sebastes auriculatus,"""",delete
"common:""",Pacific Mackerel                ,"""","scientific:""",Scomber japonicus,"""",delete
"common:""",Copper Rockfish                 ,"""","scientific:""",Sebastes caurinus,"""",delete
"common:""",Brown Rockfish                  ,"""","scientific:""",Sebastes auriculatus,"""",delete
"common:""",Treefish                        ,"""","scientific:""",Sebastes serriceps,"""",delete
"common:""",Pacific Mackerel                ,"""","scientific:""",Scomber japonicus,"""",delete
"common:""",Cowcod                          ,"""","scientific:""",Sebastes levis,"""",delete
"common:""",Cowcod                          ,"""","scientific:""",Sebastes levis,"""",delete
"common:""",Drum Family                     ,"""","scientific:""",Sciaenidae,"""",delete
"common:""",Rockfish Genus                  ,"""","scientific:""",Sebastes spp.,"""",delete
"common:""",Dolphinfish                     ,"""","scientific:""",Coryphaena hippurus,"""",delete
"common:""",Ca. Halibut                     ,"""","scientific:""",Paralichthys californicus,"""",delete
"common:""",Dolphinfish                     ,"""","scientific:""",Coryphaena hippurus,"""",delete
"common:""",Drum Family                     ,"""","scientific:""",Sciaenidae,"""",delete
"common:""",Barracuda                       ,"""","scientific:""",Sphyraena argentea,"""",delete
"common:""",Ca. Halibut                     ,"""","scientific:""",Paralichthys californicus,"""",delete
"common:""",Bank Rockfish                   ,"""","scientific:""",Sebastes rufus,"""",delete
"common:""",Bank Rockfish                   ,"""","scientific:""",Sebastes rufus,"""",delete
"common:""",Ca. Halibut                     ,"""","scientific:""",Paralichthys californicus,"""",delete
"common:""",Yellowtail                      ,"""","scientific:""",Seriola lalandi,"""",delete
"common:""",Giant Sea Bass                  ,"""","scientific:""",Stereolepis gigas,"""",delete
"common:""",Pacific Mackerel                ,"""","scientific:""",Scomber japonicus,"""",delete
"common:""",Lingcod                         ,"""","scientific:""",Ophiodon elongatus,"""",delete
"common:""",Sheephead                       ,"""","scientific:""",Semicossyphus pulcher,"""",delete
"common:""",Garibaldi                       ,"""","scientific:""",Hypsypops rubicundus,"""",delete
"common:""",Grass Rockfish                  ,"""","scientific:""",Sebastes rastrelliger,"""",delete
"common:""",Pacific Mackerel                ,"""","scientific:""",Scomber japonicus,"""",delete
"common:""",Pacific Mackerel               ,"""","scientific:""",Scomber japonicus,"""",delete
"common:""",Spiny Dogfish                   ,"""","scientific:""",Squalus acanthias,"""",delete
"common:""",Lingcod                         ,"""","scientific:""",Ophiodon elongatus,"""",delete
"common:""",Bocaccio                        ,"""","scientific:""",Sebastes paucispinis,"""",delete
"common:""",Barred Sand Bass                ,"""","scientific:""",Paralabrax nebulifer,"""",delete
"common:""",Swordspine Rockfish             ,"""","scientific:""",Sebastes ensifer,"""",delete
"common:""",Queenfish                       ,"""","scientific:""",Seriphus politus,"""",delete
"common:""",Rock Wrasse                     ,"""","scientific:""",Halichoeres semicinctus,"""",delete
"common:""",Senorita                        ,"""","scientific:""",Oxyjulis californica,"""",delete
"common:""",Speckled Rockfish               ,"""","scientific:""",Sebastes ovalis,"""",delete
"common:""",Opaleye                         ,"""","scientific:""",Girella nigricans,"""",delete
"common:""",Olive Rockfish                  ,"""","scientific:""",Sebastes serranoides,"""",delete
"common:""",Yellowtail Rockfish             ,"""","scientific:""",Sebastes flavidus,"""",delete
"common:""",Olive Rockfish                  ,"""","scientific:""",Sebastes serranoides,"""",delete
"common:""",Yellowtail Rockfish             ,"""","scientific:""",Sebastes flavidus,"""",delete
"common:""",White Croaker                   ,"""","scientific:""",Genyonemus lineatus,"""",delete
"common:""",Lingcod                         ,"""","scientific:""",Ophiodon elongatus,"""",delete
"common:""",Treefish                        ,"""","scientific:""",Sebastes serriceps,"""",delete
"common:""",Treefish                        ,"""","scientific:""",Sebastes serriceps,"""",delete
"common:""",Barracuda                       ,"""","scientific:""",Sphyraena argentea,"""",delete
"common:""",Albacore                        ,"""","scientific:""",Thunnus alalunga,"""",delete
"common:""",Bank Rockfish                   ,"""","scientific:""",Sebastes rufus,"""",delete
"common:""",Dolphinfish                     ,"""","scientific:""",Coryphaena hippurus,"""",delete
"common:""",Shortfin Mako Shark             ,"""","scientific:""",Isurus oxyrinchus,"""",delete
"common:""",Bonito                          ,"""","scientific:""",Sarda chiliensis,"""",delete
"common:""",Bocaccio                        ,"""","scientific:""",Sebastes paucispinis,"""",delete
"common:""",Bonito                          ,"""","scientific:""",Sarda chiliensis,"""",delete
"common:""",Cowcod                          ,"""","scientific:""",Sebastes levis,"""",delete
"common:""",Yellowtail                      ,"""","scientific:""",Seriola lalandi,"""",delete
"common:""",Squarespot Rockfish             ,"""","scientific:""",Sebastes hopkinsi,"""",delete
"common:""",Copper Rockfish                 ,"""","scientific:""",Sebastes caurinus,"""",delete
"common:""",Hake                            ,"""","scientific:""",Merluccius productus,"""",delete
"common:""",Mola                            ,"""","scientific:""",Mola mola,"""",delete
"common:""",Kelp Rockfish                   ,"""","scientific:""",Sebastes atrovirens,"""",delete
"common:""",Brown Rockfish                  ,"""","scientific:""",Sebastes auriculatus,"""",delete
"common:""",White Croaker                   ,"""","scientific:""",Genyonemus lineatus,"""",delete
"common:""",Barracuda                       ,"""","scientific:""",Sphyraena argentea,"""",delete
"common:""",Grass Rockfish                 ,"""","scientific:""",Sebastes rastrelliger,"""",delete
"common:""",Albacore                        ,"""","scientific:""",Thunnus alalunga,"""",delete
"common:""",Spiny Dogfish                   ,"""","scientific:""",Squalus acanthias,"""",delete
"common:""",Barracuda                       ,"""","scientific:""",Sphyraena argentea,"""",delete
"common:""",Spiny Dogfish                   ,"""","scientific:""",Squalus acanthias,"""",delete
"common:""",Greenstriped Rockfish           ,"""","scientific:""",Sebastes elongatus,"""",delete
"common:""",Kelp Bass                       ,"""","scientific:""",Paralabrax clathratus,"""",delete
"common:""",Pa. Butterfish                  ,"""","scientific:""",Peprilus simillimus,"""",delete
"common:""",Ocean Whitefish                ,"""","scientific:""",Caulolatilus princeps,"""",delete
"common:""",Blue Rockfish                   ,"""","scientific:""",Sebastes mystinus,"""",delete
"common:""",Ca. Scorpionfish                ,"""","scientific:""",Scorpaena guttata,"""",delete
"common:""",Canary Rockfish                 ,"""","scientific:""",Sebastes pinniger,"""",delete
"common:""",Vermilion Rockfish             ,"""","scientific:""",Sebastes miniatus,"""",delete
"common:""",Canary Rockfish                 ,"""","scientific:""",Sebastes pinniger,"""",delete
"common:""",Rockfish Genus                  ,"""","scientific:""",Sebastes spp.,"""",delete
"common:""",Vermilion Rockfish              ,"""","scientific:""",Sebastes miniatus,"""",delete
"common:""",Bocaccio                        ,"""","scientific:""",Sebastes paucispinis,"""",delete
"common:""",Canary Rockfish                 ,"""","scientific:""",Sebastes pinniger,"""",delete
"common:""",Vermilion Rockfish              ,"""","scientific:""",Sebastes miniatus,"""",delete
"common:""",Blue Rockfish                   ,"""","scientific:""",Sebastes mystinus,"""",delete
"common:""",Rosy Rockfish                   ,"""","scientific:""",Sebastes rosaceus,"""",delete
"common:""",Gopher Rockfish                 ,"""","scientific:""",Sebastes carnatus,"""",delete
"common:""",Grass Rockfish                  ,"""","scientific:""",Sebastes rastrelliger,"""",delete
"common:""",Rockfish Genus                  ,"""","scientific:""",Sebastes spp.,"""",delete
"common:""",Drum Family                     ,"""","scientific:""",Sciaenidae,"""",delete
"common:""",Drum Family                     ,"""","scientific:""",Sciaenidae,"""",delete
"common:""",Rubberlip Seaperch              ,"""","scientific:""",Rhacochilus toxotes,"""",delete
"common:""",Sablefish                       ,"""","scientific:""",Anoplopoma fimbria,"""",delete
"common:""",Bocaccio                        ,"""","scientific:""",Sebastes paucispinis,"""",delete
"common:""",Barred Sand Bass                ,"""","scientific:""",Paralabrax nebulifer,"""",delete
"common:""",Brown Smoothhound               ,"""","scientific:""",Mustelus henlei,"""",delete
"common:""",Gray Smoothhound                ,"""","scientific:""",Mustelus californicus,"""",delete
"common:""",Shovelnose Guitarfish           ,"""","scientific:""",Rhinobatos productus,"""",delete
"common:""",Barred Sand Bass                ,"""","scientific:""",Paralabrax nebulifer,"""",delete
"common:""",Barracuda                       ,"""","scientific:""",Sphyraena argentea,"""",delete
"common:""",Ca. Scorpionfish                ,"""","scientific:""",Scorpaena guttata,"""",delete
"common:""",Rockfish Genus                  ,"""","scientific:""",Sebastes spp.,"""",delete
"common:""",Ca. Scorpionfish                ,"""","scientific:""",Scorpaena guttata,"""",delete
"common:""",Queenfish                       ,"""","scientific:""",Seriphus politus,"""",delete
"common:""",Sablefish                       ,"""","scientific:""",Anoplopoma fimbria,"""",delete
"common:""",White Sea Bass                  ,"""","scientific:""",Atractoscion nobilis,"""",delete
"common:""",Bocaccio                        ,"""","scientific:""",Sebastes paucispinis,"""",delete
"common:""",White Croaker                   ,"""","scientific:""",Genyonemus lineatus,"""",delete
"common:""",Sheephead                       ,"""","scientific:""",Semicossyphus pulcher,"""",delete
"common:""",Coho Salmon                     ,"""","scientific:""",Oncorhynchus kisutch,"""",delete
"common:""",King Salmon                     ,"""","scientific:""",Oncorhynchus tshawytscha,"""",delete
"common:""",Barracuda                       ,"""","scientific:""",Sphyraena argentea,"""",delete
"common:""",Bocaccio                        ,"""","scientific:""",Sebastes paucispinis,"""",delete
"common:""",Brown Smoothhound               ,"""","scientific:""",Mustelus henlei,"""",delete
"common:""",Gray Smoothhound                ,"""","scientific:""",Mustelus californicus,"""",delete
"common:""",Barracuda                       ,"""","scientific:""",Sphyraena argentea,"""",delete
"common:""",Jack Mackerel                   ,"""","scientific:""",Trachurus symmetricus,"""",delete
"common:""",Jack Mackerel                   ,"""","scientific:""",Trachurus symmetricus,"""",delete
"common:""",Spotted Sand Bass               ,"""","scientific:""",Paralabrax maculatofasciatus,"""",delete
"common:""",Gopher Rockfish                 ,"""","scientific:""",Sebastes carnatus,"""",delete
"common:""",Spotfin Croaker                 ,"""","scientific:""",Roncador stearnsii,"""",delete
"common:""",Spotted Sand Bass               ,"""","scientific:""",Paralabrax maculatofasciatus,"""",delete
"common:""",Pa. Staghorn Sculpin            ,"""","scientific:""",Leptocottus armatus,"""",delete
"common:""",Greenblotched Rockfish          ,"""","scientific:""",Sebastes rosenblatti,"""",delete
"common:""",Greenspotted Rockfish           ,"""","scientific:""",Sebastes chlorostictus,"""",delete
"common:""",Pink Rockfish                   ,"""","scientific:""",Sebastes eos,"""",delete
"common:""",Rainbow Trout                   ,"""","scientific:""",Salmo gairdnerii,"""",delete
"common:""",Barracuda                       ,"""","scientific:""",Sphyraena argentea,"""",delete
"common:""",Greenstriped Rockfish           ,"""","scientific:""",Sebastes elongatus,"""",delete
"common:""",Rosy Rockfish                   ,"""","scientific:""",Sebastes rosaceus,"""",delete
"common:""",Kelp Rockfish                   ,"""","scientific:""",Sebastes atrovirens,"""",delete
"common:""",Mola                            ,"""","scientific:""",Mola mola,"""",delete
"common:""",Yellowtail                      ,"""","scientific:""",Seriola lalandi,"""",delete
"common:""",Skates & Rays                   ,"""","scientific:""",Rajidae,"""",delete
"common:""",Pacific Mackerel                ,"""","scientific:""",Scomber japonicus,"""",delete
"common:""",White Croaker                   ,"""","scientific:""",Genyonemus lineatus,"""",delete
"common:""",White Croaker                   ,"""","scientific:""",Genyonemus lineatus,"""",delete
"common:""",Mexican Rockfish                ,"""","scientific:""",Sebastes macdonaldi,"""",delete
"common:""",Bronzespotted Rockfish          ,"""","scientific:""",Sebastes gilli,"""",delete
"common:""",Greenblotched Rockfish          ,"""","scientific:""",Sebastes rosenblatti,"""",delete
"common:""",Greenspotted Rockfish           ,"""","scientific:""",Sebastes chlorostictus,"""",delete
"common:""",Pink Rockfish                  ,"""","scientific:""",Sebastes eos,"""",delete
"common:""",White Sea Bass                  ,"""","scientific:""",Atractoscion nobilis,"""",delete
"common:""",Ocean Whitefish                 ,"""","scientific:""",Caulolatilus princeps,"""",delete
"common:""",Bocaccio                        ,"""","scientific:""",Sebastes paucispinis,"""",delete
"common:""",Yellowtail                      ,"""","scientific:""",Seriola lalandi,"""",delete
"common:""",Yellowtail                      ,"""","scientific:""",Seriola lalandi,"""",delete
"common:""",Yellowtail                      ,"""","scientific:""",Seriola lalandi,"""",delete
"common:""",Sablefish                       ,"""","scientific:""",Anoplopoma fimbria,"""",delete
"common:""",Black & Yellow Rockfish         ,"""","scientific:""",Sebastes chrysomelas,"""",delete
"common:""",Billfish Family              ,"""","scientific:""",Istiophoridae,"""",delete
"common:""",Hawaiian Hogfish              ,"""","scientific:""",Bodianus bilunulatus,"""",delete
"common:""",Houndfish                     ,"""","scientific:""",Tylosurus crocodilus,"""",delete
"common:""",Keeltail Needlefish           ,"""","scientific:""",Platybelone argalus,"""",delete
"common:""",Yellowfin Tuna                ,"""","scientific:""",Thunnus albacares,"""",delete
"common:""",Bluefin Tuna                  ,"""","scientific:""",Thunnus thynnus,"""",delete
"common:""",Albacore                      ,"""","scientific:""",Thunnus alalunga,"""",delete
"common:""",Mackerel Family ,"""","scientific:""",Scombridae,"""",delete
"common:""",Hawaiian Flagtail             ,"""","scientific:""",Kuhlia sandvicensis,"""",delete
"common:""",Skipjack Tuna                 ,"""","scientific:""",Katsuwonus pelamis,"""",delete
"common:""",Bigeye Scad                   ,"""","scientific:""",Selar crumenophthalmus,"""",delete
"common:""",Saber Squirrelfish            ,"""","scientific:""",Sargocentron spiniferum,"""",delete
"common:""",Yellowstriped Squirrelfish    ,"""","scientific:""",Holocentrus ensifer,"""",delete
"common:""",Peppered Squirrelfish         ,"""","scientific:""",Sargocentron punctatissimum,"""",delete
"common:""",Crown Squirrelfish            ,"""","scientific:""",Sargocentron diadema,"""",delete
"common:""",Hawaiian Squirrelfish         ,"""","scientific:""",Holocentrus xantherythrum,"""",delete
"common:""",Spotfin Squirrelfish         ,"""","scientific:""",Neoniphon sammara,"""",delete
"common:""",Tahitian Squirrelfish         ,"""","scientific:""",Sargocentron tiere,"""",delete
"common:""",Squirrelfish Family           ,"""","scientific:""",Holocentridae,"""",delete
"common:""",Striped Mullet                ,"""","scientific:""",Mugil cephalus,"""",delete
"common:""",Whitespotted Surgeonfish      ,"""","scientific:""",Acanthurus guttatus,"""",delete
"common:""",Black Marlin                  ,"""","scientific:""",Makaira indica,"""",delete
"common:""",Blue Marlin                   ,"""","scientific:""",Makaira nigricans,"""",delete
"common:""",Striped Marlin                ,"""","scientific:""",Tetrapturus audax,"""",delete
"common:""",Milkfish                      ,"""","scientific:""",Chanos chanos,"""",delete
"common:""",Hawaiian Tenpounder           ,"""","scientific:""",Elops hawaiensis,"""",delete
"common:""",Christmas Wrasse              ,"""","scientific:""",Thalassoma trilobatum,"""",delete
"common:""",Bigeye Family                 ,"""","scientific:""",Priacanthidae,"""",delete
"common:""",Glasseye                      ,"""","scientific:""",Heteropriacanthus cruentatus,"""",delete
"common:""",Hawaiian Bigeye               ,"""","scientific:""",Priacanthus meeki,"""",delete
"common:""",Black Surgeonfish             ,"""","scientific:""",Ctenochaetus hawaiiensis,"""",delete
"common:""",Thick Lipped Jack             ,"""","scientific:""",Pseudocaranx dentex,"""",delete
"common:""",Lowfin Chub,"""","scientific:""",Kyphosus vaigiensis,"""",delete
"common:""",Gray Chub ,"""","scientific:""",Kyphosus bigibbus,"""",delete
"common:""",Dogtooth Tuna                 ,"""","scientific:""",Gymnosarda unicolor,"""",delete
"common:""",Manta Family                  ,"""","scientific:""",Mobulidae,"""",delete
"common:""",Hawaiian Grouper              ,"""","scientific:""",Epinephelus quernus,"""",delete
"common:""",Hawkfish Family               ,"""","scientific:""",Cirrhitidae,"""",delete
"common:""",Eagle Ray Family              ,"""","scientific:""",Myliobatidae,"""",delete
"common:""",Blackside Hawkfish            ,"""","scientific:""",Paracirrhites forsteri,"""",delete
"common:""",Psychedelic Wrasse            ,"""","scientific:""",Anampses chrysocephalus,"""",delete
"common:""",Yellowtail Coris              ,"""","scientific:""",Coris gaimardi,"""",delete
"common:""",Shortnose Wrasse              ,"""","scientific:""",Macropharyngodon geoffroyi,"""",delete
"common:""",Wrasse Family                 ,"""","scientific:""",Labridae,"""",delete
"common:""",Yellowstripe Coris            ,"""","scientific:""",Coris flavovittata,"""",delete
"common:""",Saddle Wrasse                 ,"""","scientific:""",Thalassoma duperreyi,"""",delete
"common:""",Blacktail Wrasse              ,"""","scientific:""",Thalassoma ballieui,"""",delete
"common:""",Bird Wrasse                   ,"""","scientific:""",Gomphosus varius,"""",delete
"common:""",Surge Wrasse                  ,"""","scientific:""",Thalassoma purpureum,"""",delete
"common:""",Triggerfishes/Filefishes      ,"""","scientific:""",Balistidae,"""",delete
"common:""",Black Triggerfish             ,"""","scientific:""",Melichthys niger,"""",delete
"common:""",Pinktail Durgon               ,"""","scientific:""",Melichthys vidua,"""",delete
"common:""",Reef Triggerfish              ,"""","scientific:""",Rhinecanthus rectangulus,"""",delete
"common:""",Lagoon Triggerfish            ,"""","scientific:""",Rhinecanthus aculeatus,"""",delete
"common:""",Lei Triggerfish               ,"""","scientific:""",Sufflamen bursa,"""",delete
"common:""",Hawaiian Silverside           ,"""","scientific:""",Atherinomorus insularum,"""",delete
"common:""",Halfbeak Fish Family          ,"""","scientific:""",Hemiramphidae,"""",delete
"common:""",Green Halfbeak                ,"""","scientific:""",Euleptorhamphus viridis,"""",delete
"common:""",Polynesian Halfbeak           ,"""","scientific:""",Hemiramphus depauperatus,"""",delete
"common:""",Acute Halfbeak                ,"""","scientific:""",Hyporhamphus acutus,"""",delete
"common:""",Greater Amberjack             ,"""","scientific:""",Seriola dumerili,"""",delete
"common:""",Great Barracuda               ,"""","scientific:""",Sphyraena barracuda,"""",delete
"common:""",Blue Spine Unicornfish        ,"""","scientific:""",Naso unicornis,"""",delete
"common:""",Whitemargin Unicorn Fish     ,"""","scientific:""",Naso annulatus,"""",delete
"common:""",Unicorn Surgeonfish Genus     ,"""","scientific:""",Naso,"""",delete
"common:""",Paletail Unicornfish          ,"""","scientific:""",Naso brevirostris,"""",delete
"common:""",Von Siebold'S Snapper         ,"""","scientific:""",Pristipomoides sieboldii,"""",delete
"common:""",Rainbow Runner                ,"""","scientific:""",Elagatis bipinnulata,"""",delete
"common:""",Heller'S Barracuda            ,"""","scientific:""",Sphyraena helleri,"""",delete
"common:""",Kawakawa                      ,"""","scientific:""",Euthynnus affinis,"""",delete
"common:""",Frigate Mackerel              ,"""","scientific:""",Auxis thazard,"""",delete
"common:""",Moorish Idol                  ,"""","scientific:""",Zanclus cornutus,"""",delete
"common:""",Bluestripe Butterflyfish      ,"""","scientific:""",Chaetodon fremblii,"""",delete
"common:""",Threadfin Butterflyfish       ,"""","scientific:""",Chaetodon auriga,"""",delete
"common:""",Teardrop Butterflyfish        ,"""","scientific:""",Chaetodon unimaculatus,"""",delete
"common:""",Racoon Butterflyfish          ,"""","scientific:""",Chaetodon lunula,"""",delete
"common:""",Porcupinefish                 ,"""","scientific:""",Diodon hystrix,"""",delete
"common:""",Spiny Porcupinefish           ,"""","scientific:""",Diodon holocanthus,"""",delete
"common:""",Porcupinefish Family          ,"""","scientific:""",Diodontidae,"""",delete
"common:""",Whitesaddle Goatfish          ,"""","scientific:""",Parupeneus porphyreus,"""",delete
"common:""",Blackspot Sergeant           ,"""","scientific:""",Abudefduf sordidus,"""",delete
"common:""",Cigar                         ,"""","scientific:""",Cheilio inermis,"""",delete
"common:""",Leatherback                   ,"""","scientific:""",Chorinemus sanctipetri,"""",delete
"common:""",Razorfish Genus               ,"""","scientific:""",Hemipteronotus,"""",delete
"common:""",Baldwin'S Wrasse              ,"""","scientific:""",Hemipteronotus baldwini,"""",delete
"common:""",Peacock Razorfish             ,"""","scientific:""",Hemipteronotus  pavoninus,"""",delete
"common:""",Blackside Razorfish           ,"""","scientific:""",Hemipteronotus umbrilatus,"""",delete
"common:""",Milletseed Butterflyfish      ,"""","scientific:""",Chaetodon miliaris,"""",delete
"common:""",Fourspot Butterflyfish        ,"""","scientific:""",Chaetodon quadrimaculatus,"""",delete
"common:""",Yellow Tang                   ,"""","scientific:""",Zebrasoma flavescens,"""",delete
"common:""",Black Trevally                ,"""","scientific:""",Caranx lugubris,"""",delete
"common:""",Longnose Butterflyfish       ,"""","scientific:""",Forcipiger flavissimus,"""",delete
"common:""",Ironjaw Snapper               ,"""","scientific:""",Aphareus rutilans,"""",delete
"common:""",Scrawled Filefish             ,"""","scientific:""",Aluterus scriptus,"""",delete
"common:""",Stingray Family               ,"""","scientific:""",Dasyatidae,"""",delete
